source_name,source_link,event_id,event_date,event_time,event_title,event_description,location_description,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,photo_link,notes,event_import_source,event_import_id,country_name,country_code,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,submitted_date,created_date,last_edited_date,longitude,latitude
ABC.net.au,http://www.abc.net.au/news/2009-01-27/fresh-warnings-after-storm-kills-26-in-southern/274060,976,01/26/2009 12:00:00 AM,,South of Naples,"A young woman was swept to her death Sunday by a wave as she walked on a beach, while torrential rain triggered a mudslide on the main highway south of Naples, killing two people and injuring five. ",South of Naples,5km,mudslide,downpour,medium,unknown,2,,,,,glc,976,Italy,IT,Campania,959470,Napoli,0.79183,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,14.252,40.8403
NewsFlare,https://www.newsflare.com/video/83244/weather-nature/massive-landslide-in-cortina-italy,9887,08/16/2016 05:45:00 PM,,"Landslide in Cortina, Italy","Massive landslide that continues to move near Cortina, in Veneto region, in the north-eastern part of Italy. The landslide moves down every time it rains, blocking the street. It is the third in only 10 days that Strada Statale Alemagna is blocked by the landslide.","Cortina, Veneto, Italy",5km,landslide,rain,very_large,natural_slope,0,0,,,,,,,,,,,,06/30/2017 05:45:00 PM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,12.132183,46.539613
www.telegraph.co.uk,http://www.telegraph.co.uk/news/worldnews/europe/italy/10496880/Supermarket-sinks-into-ground-in-devastating-landslide.html,5672,12/03/2013 12:00:00 PM,,"Montescaglioso, Matera","Days of heaving rain and flooding caused the landslide in the town of Montescaglioso in southern Italy. The landslide created large craters in roads and caused buildings to sink into the ground. Footage shows a supermarket which was reduced to rubble, with only the roof left visible. Most of the people living in the area had been evacuated the day before the landslide hit. There are no reports of anyone being injured.","Montescaglioso, Matera",1km,landslide,downpour,medium,unknown,0,,,,,glc,5672,Italy,IT,Basilicate,9205,Montescaglioso,1.44672,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,16.6525,40.5452
google,http://www.google.com/hostednews/canadianpress/article/ALeqM5gXp331QDTZE7eZ9oUb7QhUoYQZ1g,2410,09/10/2010 12:00:00 AM,,"Atrani village, less then 1 mi from Amalfi","Sep 10, 2010  ROME — A river of mud unleashed by heavy rains has flooded a tiny village on Italy's Amalfi Coast, and at least one person was reported missing.  Video obtained by APTN on Friday showed a river of mud running through a small alley in the village, called Atrani, tipping cars over and almost entirely covering some of them.  Officials said a small river close to the village had broken its banks, fed by heavy rains, on Thursday evening.  Brunella Cimadomo of the local Civil Protection Department said a 25-year-old woman was missing after the coffee bar where she worked was hit by the mudslide. She said the rain had let up on Friday but more was expected in coming days.  Atrani is less than a mile away from Amalfi itself.","Atrani village, less then 1 mi from Amalfi",1km,mudslide,downpour,medium,unknown,0,,,,,glc,2410,Italy,IT,Campania,887,Atrani,0.24389,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,14.6074,40.6378
genevalunch.com,http://genevalunch.com/blog/2011/09/04/st-bernard-pass-closed-following-landslide/,3962,09/03/2011 07:15:00 PM,,Bourg St Pierre Road to ( St. Bernard pass),"Pass and tunnel between Switzerland and Italy has been closed since Saturday night, following a landslide near the village of Bourg St-Pierre.",Bourg St Pierre Road to ( St. Bernard pass),1km,landslide,rain,medium,unknown,0,,,,,glc,3962,Switzerland,CH,Valais,2725,Orsières,9.63269,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,7.2083,45.9547
adnkronos,http://www.adnkronos.com/IGN/Aki/English/Security/Italy-Weather-emergency-declared-following-deadly-storms_311743997241.html,3160,03/01/2011 11:00:00 PM,,Calabria region,"Storms battered central and southern Italy overnight, killing at least four people, prompting the central Marche region to declare a state of emergency. At least three people drowned in flooding while a fourth person died when a mudslide hit his car in the southern Calabria region. ",Calabria region,unknown,mudslide,downpour,medium,unknown,1,,,,,glc,3160,Italy,IT,Calabria,988,Falerna,2.55304,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,16.1928,39.0177
Reuters - AlertNet.org,http://www.alertnet.org/thenews/newsdesk/L03580399.htm,32,03/03/2007 12:00:00 AM,,"Paris, Mont Blanc tunnel",tunnel that connects France and Italy closed,"Paris, Mont Blanc tunnel",5km,landslide,unknown,small,unknown,,,,,,glc,32,France,FR,Rhône-Alpes,10614,Chamonix-Mont-Blanc,5.87091,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,6.8935,45.8737
usatoday30.usatoday,http://usatoday30.usatoday.com/news/world/story/2011-11-23/italy-deadly-floods/51371300/1,4059,11/23/2011 12:00:00 AM,,"Calabria,","Torrential rains since Friday triggered widespread flooding and landslides in Kampar district in Riau, killing two people and rendering thousands homeless over the weekend.Officials said the heavy rains caused the Kampar River to overflow and flood entire villages in the district.","Calabria,",1km,landslide,downpour,small,unknown,0,,,,,glc,4059,Italy,IT,Calabria,1250,Lago,2.22937,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,16.158,39.1854
lifeinitaly,http://www.lifeinitaly.com/node/5353,1016,04/28/2009 12:00:00 AM,,"Broni Town, Piedmont region (no. of other towns under the region, details not available)","(ANSA) - Rome, April 28 - The Po River inter-regional authority said on Tuesday that it was closely monitoring water levels along the river which in some areas in Piedmont has surpassed warning levels. Days of heavy rain in Piedmont have causeD local flooding and mudslides in a number of towns in the region and a 70-year-old man remains missing and feared dead after a mudslide in the town of Broni Monday night","Broni Town, Piedmont region (no. of other towns under the region, details not available)",5km,landslide,downpour,medium,unknown,1,,,,,glc,1016,Italy,IT,Lombardy,8420,Broni,0.14306,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,9.2635,45.0664
lovesschool.com,http://lovesschool.com/gale-santo-stefano-italy-in-the-grip-of-the-bad-weather-and-landslides-injured-in-lecco/,5728,12/26/2013 12:00:00 AM,,Valsassina,"The bad weather that is sweeping the Lombardy has also resulted in two landslides in Valsassina, where were evacuated as a precaution some families",Valsassina,25km,landslide,downpour,medium,unknown,0,,,,,glc,5728,Italy,IT,Lombardy,1238,Cortenova,2.21711,04/01/2014 12:00:00 AM,11/20/2017 03:17:00 PM,02/15/2018 03:51:00 PM,9.4,45.9835
