,Unnamed: 0,Date,country,landslide_type,trigger,landslide_size,population,latitude,longitude
0,560,05/30/2008,Italy,2,1,3,16800.0,44.6467,7.6639
1,561,05/30/2008,Italy,2,1,3,809.0,44.8098,7.1526
2,562,05/30/2008,Italy,2,1,3,2982.0,45.7513,7.376
3,937,12/17/2008,Italy,2,1,3,169140.0,38.1102,15.6508
4,978,01/26/2009,Italy,2,1,3,959470.0,40.8403,14.252
5,1018,04/28/2009,Italy,1,1,3,8420.0,45.0664,9.2635
6,1206,10/01/2009,Italy,2,1,2,219948.0,38.196,15.5445
7,1207,10/01/2009,Italy,2,1,2,219948.0,38.1923,15.5555
8,1291,11/10/2009,Italy,1,1,3,8011.0,40.7477,13.913
9,1506,02/14/2010,Italy,2,1,3,4846.0,38.89801323,16.56566431
10,1510,02/15/2010,Italy,2,1,3,1879.0,38.708,16.1901
11,1511,02/15/2010,Italy,2,1,3,3942.0,38.018,14.599
12,1552,03/10/2010,Italy,2,1,3,219948.0,38.1947,15.5406
13,1858,05/15/2010,Italy,1,1,3,2001.0,44.3189,11.2603
14,2402,09/10/2010,Italy,2,1,3,887.0,40.6378,14.6074
15,2665,10/31/2010,Italy,2,1,3,10023.0,44.0493,10.1432
16,2666,10/31/2010,Italy,2,1,3,64783.0,44.0513,10.127
17,2667,10/31/2010,Italy,1,1,3,20435.0,44.0928,9.9381
18,2668,10/31/2010,Italy,1,1,3,1392.0,44.1473,9.8792
19,2669,10/31/2010,Italy,1,1,3,2935.0,44.4197,8.5282
20,2671,11/01/2010,Italy,2,1,3,12762.0,43.862,7.829
21,3154,03/01/2011,Italy,2,1,3,988.0,39.0177,16.1928
22,3160,03/02/2011,Italy,1,1,3,23230.0,43.3166,12.8788
23,3165,03/04/2011,Italy,1,1,3,587.0,37.8762,15.1933
24,3729,07/07/2011,Italy,1,1,3,3178.0,46.0161,9.2572
25,4005,10/21/2011,Italy,1,1,3,32484.0,40.8308,14.43
26,4011,10/25/2011,Italy,1,1,3,545.0,44.2408,9.6882
27,4013,10/26/2011,Italy,1,1,2,611.0,44.2231,9.7197
28,4036,11/22/2011,Italy,1,1,3,2666.0,38.9102,16.5877
29,4037,11/22/2011,Italy,2,1,3,1473.0,38.2072,15.4306
30,4042,11/23/2011,Italy,1,1,4,1250.0,39.1854,16.158
31,4043,11/23/2011,Italy,1,1,3,1473.0,38.1944,15.4337
32,4787,04/08/2013,Italy,1,1,3,4410.0,43.3135,12.3009
33,5371,08/22/2013,Italy,1,2,3,6385.0,43.6263,13.5114
34,5602,10/22/2013,Italy,1,1,1,42867.0,43.3491,11.3032
35,5661,12/02/2013,Italy,1,1,2,20036.0,41.8368,12.6528
36,5663,12/03/2013,Italy,1,1,3,9205.0,40.5452,16.6525
37,5717,12/26/2013,Italy,1,1,3,1012.0,45.97,9.2386
38,5718,12/26/2013,Italy,2,1,3,2288.0,46.0539,9.4192
39,5719,12/26/2013,Italy,1,1,3,1238.0,45.9835,9.4
40,5720,12/26/2013,Italy,1,1,3,3762.0,44.4979,8.9042
41,5786,01/17/2014,Italy,1,1,3,1773.0,43.9266,8.1243
42,5796,01/21/2014,Italy,3,0,3,2853.0,46.3291,11.2315
43,5820,01/31/2014,Italy,1,1,2,829.0,41.8964,12.4374
44,5933,03/09/2014,Italy,1,1,3,3841.0,44.2136,8.4163
45,6217,10/14/2014,,1,1,3,187056.0,45.6621,13.8002
46,6351,11/10/2014,,1,1,3,2218.0,44.3471,9.3134
47,6352,11/12/2014,,2,1,3,43030.0,45.576,8.0499
48,6354,11/15/2014,,1,1,3,8130.0,45.9,8.5968
49,6558,01/19/2014,,1,1,3,3656.0,44.3804,9.0563
50,6625,11/16/2014,,3,0,3,322.0,46.8621,11.1463
51,6710,02/04/2015,,3,1,4,23902.0,40.7511,14.482
52,7522,03/19/2016,,3,0,4,11226.0,44.4099,8.6944
53,7528,08/04/2015,,1,1,3,1548.0,46.4891,12.2186
54,8856,11/27/2015,,3,1,4,669.0,41.6507,14.5982
